PNR Number,Train Number,Date of Journey,Class of Travel,Quota,Source Station,Destination Station,Booking Date,Current Status,Number of Passengers,Age of Passengers,Booking Channel,Travel Distance,Number of Stations,Travel Time,Train Type,Seat Availability,Special Considerations,Holiday or Peak Season,Waitlist Position,Confirmation Status,Was Waitlisted
PNR0000000000,51450,2024-09-01,3AC,General,NDLS,CSMT,2024-01-01,Confirmed,4,Child,Counter,1656,17,37,Shatabdi,159,Senior Citizen,Yes,0,Confirmed,False
PNR0000000001,54807,2024-09-02,3AC,Premium Tatkal,MMCT,LTT,2024-01-02,Waitlisted,5,Senior Citizen,Mobile App,1932,18,6,Shatabdi,309,No Special Consideration,Yes,97,Not Confirmed,True
PNR0000000002,14396,2024-09-03,3AC,Ladies,GKP,BBS,2024-01-03,RAC,5,Adult,IRCTC Website,155,4,17,Express,143,No Special Consideration,Yes,0,Confirmed,False
PNR0000000003,20295,2024-09-04,3AC,Ladies,ASR,KOAA,2024-01-04,Waitlisted,1,Senior Citizen,Counter,1840,5,16,Superfast,256,Senior Citizen,No,11,Not Confirmed,True
PNR0000000004,48598,2024-09-05,2AC,Tatkal,MAS,SBC,2024-01-05,Confirmed,3,Child,Mobile App,1766,9,32,Express,58,No Special Consideration,Yes,0,Confirmed,False
PNR0000000005,79825,2024-09-06,2AC,Premium Tatkal,KOAA,MMCT,2024-01-06,RAC,2,Senior Citizen,Mobile App,721,16,30,Express,223,Defense Quota,Yes,0,Confirmed,False
PNR0000000006,95438,2024-09-07,Sleeper,General,ASR,PNBE,2024-01-07,RAC,4,Senior Citizen,IRCTC Website,1115,3,35,Superfast,256,Senior Citizen,Yes,0,Confirmed,False
PNR0000000007,55096,2024-09-08,1AC,Ladies,SC,JHS,2024-01-08,Confirmed,5,Senior Citizen,Mobile App,50,3,36,Rajdhani,374,Defense Quota,No,0,Confirmed,False
PNR0000000008,66367,2024-09-09,1AC,Tatkal,LTT,GKP,2024-01-09,RAC,1,Senior Citizen,Mobile App,129,6,2,Rajdhani,62,No Special Consideration,No,0,Confirmed,False
PNR0000000009,49309,2024-09-10,1AC,Premium Tatkal,LKO,MAS,2024-01-10,Confirmed,1,Adult,IRCTC Website,1093,5,7,Superfast,313,No Special Consideration,Yes,0,Confirmed,False
PNR0000000010,84954,2024-09-11,1AC,Tatkal,CNB,MAS,2024-01-11,Waitlisted,4,Child,Counter,1830,11,46,Express,116,Defense Quota,Yes,65,Not Confirmed,True
PNR0000000011,21169,2024-09-12,3AC,Premium Tatkal,PNBE,GKP,2024-01-12,Confirmed,1,Senior Citizen,Mobile App,1228,11,10,Shatabdi,133,No Special Consideration,No,0,Confirmed,False
PNR0000000012,67644,2024-09-13,2AC,General,CNB,BCT,2024-01-13,Confirmed,2,Child,Counter,1409,14,30,Express,54,No Special Consideration,Yes,0,Confirmed,False
PNR0000000013,45391,2024-09-14,2AC,Tatkal,ADI,HWH,2024-01-14,RAC,5,Adult,Counter,788,12,20,Express,237,Defense Quota,Yes,0,Confirmed,False
PNR0000000014,10215,2024-09-15,2AC,Premium Tatkal,BCT,JP,2024-01-15,Confirmed,5,Child,IRCTC Website,303,13,8,Shatabdi,401,Senior Citizen,No,0,Confirmed,False
PNR0000000015,74068,2024-09-16,2AC,Tatkal,LTT,JP,2024-01-16,RAC,4,Senior Citizen,Mobile App,1002,4,17,Rajdhani,112,Senior Citizen,No,0,Confirmed,False
PNR0000000016,77457,2024-09-17,3AC,Tatkal,BBS,MAS,2024-01-17,RAC,2,Senior Citizen,IRCTC Website,1839,5,6,Shatabdi,133,No Special Consideration,Yes,0,Confirmed,False
PNR0000000017,17913,2024-09-18,2AC,Ladies,JHS,JP,2024-01-18,Waitlisted,3,Adult,Mobile App,1038,3,47,Shatabdi,162,Defense Quota,No,26,Not Confirmed,True
PNR0000000018,15855,2024-09-19,3AC,General,JHS,HWH,2024-01-19,Waitlisted,3,Adult,Mobile App,639,17,24,Rajdhani,162,Senior Citizen,No,86,Not Confirmed,True
PNR0000000019,87466,2024-09-20,Sleeper,Ladies,BBS,ASR,2024-01-20,Waitlisted,5,Adult,Counter,376,17,14,Express,33,Defense Quota,Yes,127,Not Confirmed,True
PNR0000000020,25798,2024-09-21,3AC,General,SBC,CSMT,2024-01-21,RAC,2,Senior Citizen,Counter,1373,6,2,Superfast,330,Senior Citizen,No,0,Confirmed,False
PNR0000000021,97702,2024-09-22,Sleeper,Ladies,JU,NDLS,2024-01-22,Waitlisted,2,Child,Counter,1115,14,40,Rajdhani,115,No Special Consideration,No,86,Not Confirmed,True
PNR0000000022,53904,2024-09-23,Sleeper,General,CSMT,ADI,2024-01-23,RAC,5,Senior Citizen,Mobile App,1838,14,37,Rajdhani,141,Defense Quota,No,0,Confirmed,False
PNR0000000023,82428,2024-09-24,1AC,General,LTT,GKP,2024-01-24,Waitlisted,3,Senior Citizen,Counter,446,5,25,Shatabdi,366,No Special Consideration,No,84,Not Confirmed,True
